Medium,30,20,2,12347,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",3900,0.1451
Medium,30,20,2,12347,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",4200,10.3944
Medium,30,20,3,12348,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",4600,0.1467
Medium,30,20,3,12348,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",4400,0.1441
Medium,30,20,3,12348,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",4300,10.2091
Medium,30,20,4,12349,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",4600,0.1453
Medium,30,20,4,12349,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",4200,0.1368
Medium,30,20,4,12349,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",4100,10.2931
Medium,30,20,5,12350,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",4700,0.1548
Medium,30,20,5,12350,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",4200,0.1416
Medium,30,20,5,12350,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",4200,10.3601
Medium,30,20,6,12351,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",4700,0.144
Medium,30,20,6,12351,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",4400,0.1452
Medium,30,20,6,12351,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",4300,10.2768
Medium,30,20,7,12352,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",4500,0.154
Medium,30,20,7,12352,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",4100,0.1385
Medium,30,20,7,12352,ACO-Tuned,"{""alpha"": 1.0, ""beta"": 2.0, ""evaporation"": 0.9, ""num_ants"": 100, ""num_iterations"": 200}",4100,10.3815
Medium,30,20,8,12353,SA-Linear,"{""exponential"": false, ""initial_temp"": 50000, ""linear_alpha"": 1.0, ""max_iterations"": 2000}",4900,0.153
Medium,30,20,8,12353,SA-Exp,"{""exp_alpha"": 0.85, ""exponential"": true, ""initial_temp"": 100000, ""max_iterations"": 2000}",4000,0.1436
